NeId,NeAlias,NeType,EntityType,MeasurePoint,EndTime,Failure,NumOfSamp,DropEvents,TotlOctets,TotPackets,BroadcPack,MulticPack,CrcAlgnErr,UndSizPack,OvrSizPack,Fragments,Jabbers,Collisions,Utilizatio,USF,OSF,Frag,FFAE,OTOk,UFTOk,MFTOk,BFTOk,OROk,UFROk,MFROk,BFROk,totTxPkts,totRxPkts,totTxPktLo,totRxPktLo,avgTxPktLR,avgRxPktLR,min2WDelay,avg2WDelay,max2WDelay,minRTDelay,avgRTDelay,maxRTDelay
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/1,09/01/2019 05:00,,,,,,,,,,,,,,,0,0,0,0,223137942,3779997,900,0,224750480,3509870,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/1,09/01/2019 05:15,,,,,,,,,,,,,,,0,0,0,0,223270014,3782266,900,0,224885072,3511973,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/1,09/01/2019 05:30,,,,,,,,,,,,,,,0,0,0,0,223148332,3780182,900,0,224761104,3510036,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/1,09/01/2019 05:45,,,,,,,,,,,,,,,0,0,0,0,223270892,3782272,900,0,224884944,3511965,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,5/9/1,09/01/2019 05:00,,,,,,,,,,,,,,,0,0,0,0,321439488,5400327,900,0,311182032,4860373,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,5/9/1,09/01/2019 05:15,,,,,,,,,,,,,,,0,0,0,0,321420792,5400015,900,0,311164688,4860092,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,5/9/1,09/01/2019 05:30,,,,,,,,,,,,,,,0,0,0,0,321435028,5400253,900,0,311177872,4860298,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,5/9/1,09/01/2019 05:45,,,,,,,,,,,,,,,0,0,0,0,321425958,5400093,900,0,311168976,4860148,900,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/3,09/01/2019 05:00,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/3,09/01/2019 05:15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/3,09/01/2019 05:30,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5001,ROMAITER-PTN2.2,SPO1410,MEFUNITraf,6/9/3,09/01/2019 05:45,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
